status,credit_history,purpose,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,duration,amount,age,credit_risk
2,3,0,0,1,3,4,0,1,3,2,2,0,0,0,0,0,9,1549,35,1
0,3,1,0,3,1,1,0,3,2,1,1,0,1,0,0,0,30,4811,24,1
2,3,9,3,4,0,2,0,1,3,2,2,0,2,0,1,0,14,1410,35,1
0,3,9,1,3,0,4,0,3,3,2,2,0,1,0,0,0,5,3448,74,1
2,0,3,1,3,1,4,0,3,2,2,2,0,2,0,0,0,11,4771,51,1
1,3,3,1,4,2,4,0,3,3,2,2,0,1,0,0,0,10,2315,52,1
1,3,1,1,3,3,4,0,2,2,2,2,0,2,1,0,0,48,4788,26,1
0,3,9,2,2,2,1,0,3,2,2,1,0,1,0,0,0,18,1568,24,1
0,4,3,2,4,3,4,0,3,1,0,2,0,1,1,0,0,15,1569,34,1
1,1,6,1,2,3,4,0,2,0,0,2,0,2,0,1,0,40,5998,27,0
0,1,3,0,2,3,4,0,2,2,2,2,1,2,0,1,0,18,1169,29,1
2,3,0,1,4,0,0,0,0,3,2,1,1,2,0,0,0,12,1223,46,0
1,3,2,4,2,3,4,0,1,1,2,2,0,2,0,0,0,18,2659,28,1
0,1,3,0,4,3,4,0,3,0,2,0,1,2,0,0,0,6,700,36,1
0,3,1,2,2,0,4,1,1,3,2,2,0,2,1,0,0,10,2848,32,1
1,3,3,1,1,2,1,0,3,2,2,1,0,2,0,0,0,9,1366,22,0
0,3,6,0,2,1,4,0,3,0,2,0,0,1,1,1,0,36,9055,35,1
1,3,3,1,2,1,4,0,3,3,2,1,0,1,1,0,0,24,1987,21,0
1,3,1,1,2,2,4,2,3,0,0,2,0,2,1,1,0,24,2924,63,1
2,3,9,2,2,3,4,0,3,1,2,2,0,2,0,0,0,18,2622,34,1
0,1,9,0,4,3,4,0,3,3,2,2,1,2,0,0,0,36,6304,36,1
0,0,3,1,2,3,4,0,1,1,2,2,1,3,0,1,0,36,4463,26,0
0,3,9,0,4,2,4,0,1,2,2,2,1,2,0,0,0,36,7409,37,1
0,0,0,0,4,3,2,0,3,1,2,2,1,2,0,1,0,24,717,54,1
1,3,2,0,3,3,4,0,3,1,2,2,0,2,0,1,0,20,2212,39,1
1,4,2,1,2,3,4,0,2,1,0,2,0,2,0,0,0,18,1553,44,0
2,3,1,1,0,2,1,0,3,0,2,0,0,3,0,1,0,18,12976,38,0
0,1,3,1,4,1,4,0,1,0,2,2,1,2,0,0,0,12,1934,26,1
1,1,2,3,2,0,1,0,3,1,2,2,1,2,0,0,0,33,4281,23,0
1,1,0,1,4,1,4,2,3,2,0,1,0,2,0,1,0,16,2625,43,0
1,1,0,4,3,2,1,0,3,3,2,2,1,1,0,1,0,6,666,39,1
0,3,1,2,3,2,1,0,3,1,2,2,0,2,0,0,0,24,3488,23,1
2,1,0,1,0,3,2,0,1,1,2,2,1,3,0,0,0,30,5234,28,0
0,1,3,1,2,0,1,0,0,1,2,2,1,2,0,1,0,6,1382,28,1
0,3,2,1,2,3,1,0,1,1,2,2,0,3,0,1,0,36,3349,28,0
0,3,3,3,4,3,4,0,2,2,1,2,0,2,0,1,0,15,1213,47,1
2,3,0,2,1,3,1,0,1,2,0,2,0,1,0,0,0,12,836,23,0
1,3,2,1,2,3,4,2,0,2,2,2,0,1,0,0,0,12,1289,21,1
0,1,2,1,1,1,1,0,3,2,2,1,1,1,0,0,0,12,1258,22,1
1,3,3,1,4,0,4,2,2,2,2,2,0,2,1,0,0,30,2522,39,1
0,3,9,1,2,1,2,0,1,3,2,2,0,2,0,1,1,12,1076,26,1
0,3,3,0,4,1,1,0,3,3,2,2,0,1,0,1,0,36,3835,45,1
0,3,3,1,2,3,4,0,1,0,2,0,0,3,0,1,0,18,1505,32,1
1,3,2,1,3,3,1,0,3,3,2,1,0,2,0,0,0,30,2406,23,0
2,0,5,4,2,2,2,0,2,2,1,2,1,2,0,0,0,15,1512,61,0
1,3,2,1,4,3,4,0,3,0,2,0,0,3,0,1,0,12,7865,53,0
2,1,9,1,0,2,2,0,2,1,2,2,2,0,1,1,0,18,3590,40,1
1,4,2,3,1,3,4,0,3,0,2,0,0,2,1,1,0,24,3349,30,0
1,3,1,0,4,0,4,0,3,2,2,0,0,2,1,1,0,18,7511,51,0
1,3,1,1,4,1,4,0,3,0,2,0,0,2,1,0,0,36,5493,42,1
0,3,9,1,3,3,4,0,0,1,1,2,1,2,0,1,0,18,1950,34,1
3,0,0,1,2,1,1,0,1,1,1,2,1,2,0,1,0,12,2247,36,1
0,0,9,1,2,1,1,0,1,1,2,2,1,2,0,1,0,33,2764,26,1
2,0,3,2,1,3,4,0,2,0,1,2,1,3,0,0,0,30,1919,30,0
0,3,2,1,4,0,4,0,3,1,2,2,0,2,0,0,0,9,1313,20,1
2,3,1,1,2,1,4,0,1,1,2,1,0,3,0,1,0,36,6948,35,1
1,3,2,1,2,1,1,0,3,1,2,1,0,2,0,0,0,12,1282,20,0
